,covid_hospital_admissions_per_100k,covid_cases_per_100k,doses_per_100k,case_rate_per_100k,death_rate_per_100k,clusters,cluster
219,8.9,252.21,215187.0,29613.0,408.0,2,dark purple
220,1.0,195.58,215187.0,29613.0,408.0,2,dark purple
221,2.0,88.08,215187.0,29613.0,408.0,2,dark purple
222,1.0,15.8,215187.0,29613.0,408.0,2,dark purple
223,17.9,75.82,215187.0,29613.0,408.0,2,dark purple
224,5.2,61.69,215187.0,29613.0,408.0,2,dark purple
225,1.0,44.28,215187.0,29613.0,408.0,2,dark purple
226,17.9,60.6,215187.0,29613.0,408.0,2,dark purple
227,2.7,26.51,215187.0,29613.0,408.0,2,dark purple
228,4.3,171.67,215187.0,29613.0,408.0,2,dark purple
229,5.4,40.3,215187.0,29613.0,408.0,2,dark purple
230,17.4,63.16,215187.0,29613.0,408.0,2,dark purple
231,17.4,33.76,215187.0,29613.0,408.0,2,dark purple
232,5.2,47.69,215187.0,29613.0,408.0,2,dark purple
233,2.0,40.11,215187.0,29613.0,408.0,2,dark purple
234,2.7,56.03,215187.0,29613.0,408.0,2,dark purple
235,2.4,225.79,215187.0,29613.0,408.0,2,dark purple
236,5.2,6.04,215187.0,29613.0,408.0,2,dark purple
237,4.2,39.61,215187.0,29613.0,408.0,2,dark purple
238,5.5,22.43,215187.0,29613.0,408.0,2,dark purple
239,8.9,208.91,215187.0,29613.0,408.0,2,dark purple
240,8.9,534.68,215187.0,29613.0,408.0,2,dark purple
241,5.7,40.23,215187.0,29613.0,408.0,2,dark purple
242,20.2,156.29,215187.0,29613.0,408.0,2,dark purple
243,1.0,56.98,215187.0,29613.0,408.0,2,dark purple
244,2.4,284.68,215187.0,29613.0,408.0,2,dark purple
245,8.9,58.25,215187.0,29613.0,408.0,2,dark purple
246,17.4,55.13,215187.0,29613.0,408.0,2,dark purple
247,2.7,77.12,215187.0,29613.0,408.0,2,dark purple
248,10.8,93.11,215187.0,29613.0,408.0,2,dark purple
249,3.9,37.59,215187.0,29613.0,408.0,2,dark purple
250,1.7,62.71,215187.0,29613.0,408.0,2,dark purple
251,2.9,44.56,215187.0,29613.0,408.0,2,dark purple
252,3.4,26.79,215187.0,29613.0,408.0,2,dark purple
253,3.4,19.02,215187.0,29613.0,408.0,2,dark purple
254,3.9,9.9,215187.0,29613.0,408.0,2,dark purple
255,0.0,5.14,215187.0,29613.0,408.0,2,dark purple
256,6.1,13.2,215187.0,29613.0,408.0,2,dark purple
257,4.2,45.11,215187.0,29613.0,408.0,2,dark purple
258,1.3,7.63,215187.0,29613.0,408.0,2,dark purple
259,3.4,231.84,215187.0,29613.0,408.0,2,dark purple
260,1.1,7.94,215187.0,29613.0,408.0,2,dark purple
261,1.7,21.17,215187.0,29613.0,408.0,2,dark purple
262,0.0,15.11,215187.0,29613.0,408.0,2,dark purple
263,6.1,13.41,215187.0,29613.0,408.0,2,dark purple
264,2.9,5.73,215187.0,29613.0,408.0,2,dark purple
265,4.9,34.39,215187.0,29613.0,408.0,2,dark purple
266,4.8,58.01,215187.0,29613.0,408.0,2,dark purple
267,0.0,65.65,215187.0,29613.0,408.0,2,dark purple
268,3.9,26.99,215187.0,29613.0,408.0,2,dark purple
269,3.9,14.52,215187.0,29613.0,408.0,2,dark purple
270,3.4,11.94,215187.0,29613.0,408.0,2,dark purple
271,2.9,22.37,215187.0,29613.0,408.0,2,dark purple
272,1.3,18.82,215187.0,29613.0,408.0,2,dark purple
273,1.3,16.78,215187.0,29613.0,408.0,2,dark purple
274,0.0,23.4,215187.0,29613.0,408.0,2,dark purple
275,4.8,2.73,215187.0,29613.0,408.0,2,dark purple
276,1.3,5.87,215187.0,29613.0,408.0,2,dark purple
277,2.2,18.4,215187.0,29613.0,408.0,2,dark purple
278,4.9,25.51,215187.0,29613.0,408.0,2,dark purple
279,2.9,38.06,215187.0,29613.0,408.0,2,dark purple
280,1.6,24.66,215187.0,29613.0,408.0,2,dark purple
281,1.6,122.86,215187.0,29613.0,408.0,2,dark purple
282,2.9,17.44,215187.0,29613.0,408.0,2,dark purple
283,2.9,26.44,215187.0,29613.0,408.0,2,dark purple
284,13.1,19.37,215187.0,29613.0,408.0,2,dark purple
285,3.4,53.15,215187.0,29613.0,408.0,2,dark purple
286,0.0,43.46,215187.0,29613.0,408.0,2,dark purple
287,4.9,39.9,215187.0,29613.0,408.0,2,dark purple
288,2.0,36.45,215187.0,29613.0,408.0,2,dark purple
289,0.0,12.15,215187.0,29613.0,408.0,2,dark purple
290,13.1,20.22,215187.0,29613.0,408.0,2,dark purple
291,3.9,30.85,215187.0,29613.0,408.0,2,dark purple
