State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
Oregon,864083,864083,0,6657,20487,8257,8257,0,65,195,157.8,1.5,8-9.9%,10-14.9%,10-14.9%,211982.6279,8991258,1225.48,51979,6052.83,256731,1038,5
Palau,5308,0,0,0,24652,6,N/A,N/A,0,27,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Pennsylvania,3131000,2582818,548182,22511,24457,46398,N/A,N/A,119,362,175.8,0.9,10-14.9%,15-19.9%,15-19.9%,216398.9779,27662831,929.8,118859,3749.23,479274,5033,24
Puerto Rico,882822,393073,489749,19209,27643,4830,3941,889,39,151,601.5,1.2,10-14.9%,25% +,25% +,99438.80737,3141613,498.71,15756,1896.31,59911,3309,10
Republic of Marshall Islands,681,681,0,613,876,2,2,0,2,2,788.5,2.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,492,1
Rhode Island,393116,0,0,1027,37109,3632,N/A,N/A,2,342,96.9,0.2,5-7.9%,10-14.9%,10-14.9%,675350.5971,7139300,1284.81,13582,5152.65,54470,273,0
South Carolina,1637108,1270397,366711,8001,31796,18215,N/A,N/A,6,353,155.4,0.1,10-14.9%,20-24.9%,20-24.9%,255173.4559,13315053,852.6,44489,4163.25,217240,0,0
South Dakota,253232,0,0,1372,28625,2973,2973,0,10,336,155.1,1.1,10-14.9%,20-24.9%,20-24.9%,129942.8598,1160022,433.4,3869,1961.65,17512,0,0
Tennessee,2234994,1672943,562051,17919,32727,27213,19724,7489,125,398,262.4,1.8,N/A,N/A,N/A,162813.3624,11212686,457.51,31508,2123.33,146230,3140,23
Texas,7564812,0,0,68060,26089,88049,N/A,N/A,187,303,234.7,0.6,10-14.9%,25% +,25% +,176617.0622,51856110,635.04,186454,828.96,243388,9269,28
United States of America,92560911,51420831,9829328,721741,27880,1031426,500274,71787,2894,310,217.4,0.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,119293,476
Utah,1020130,1020130,0,4688,31820,4940,4671,269,12,154,146.2,0.4,10-14.9%,25% +,20-24.9%,232581.6438,7558622,625.5,20328,2870.01,93272,4688,12
Vermont,128934,0,0,567,20663,666,N/A,N/A,6,106,90.9,1,3-4.9%,5-7.9%,5-7.9%,648700.8039,4043657,1705.15,10629,7484.43,46654,71,0
Virgin Islands,22108,0,0,164,20800,122,N/A,N/A,1,114,154.3,0.9,10-14.9%,20-24.9%,25% +,110108.1946,117034,372.57,396,1334.09,1418,33,0
Virginia,1993874,1417922,575952,18867,23360,21145,17613,3532,91,247,221,1.1,10-14.9%,20-24.9%,20-24.9%,183542.0915,15767299,776.98,66747,3384.98,290789,3032,18
Washington,1758692,0,0,12066,23095,13792,N/A,N/A,95,181,158.5,1.2,N/A,N/A,N/A,220462.1574,16961503,1059.72,81531,5385.53,414342,1877,17
West Virginia,566420,440355,126065,6157,31606,7203,N/A,N/A,30,401,343.6,1.7,10-14.9%,15-19.9%,10-14.9%,306119.4417,5463580,1637.73,29230,6676.15,119155,1023,2
Wisconsin,1801328,1586177,215151,12571,30938,14971,13260,1711,27,257,215.9,0.5,8-9.9%,10-14.9%,10-14.9%,302221.6469,17627546,1244.42,72583,5535.35,322858,2187,6
Wyoming,172473,135133,37340,1151,29800,1865,1865,0,9,322,198.9,1.6,8-9.9%,10-14.9%,10-14.9%,254970.0512,1484762,916.67,5338,4516.36,26300,0,0
